name,id,hp,attack,defense,spAttack,spDefense,speed,bst,type1,type2,abilities,passive,evolution line,img
Bulbasaur,1,45,49,49,65,65,45,318,Grass,Poison,"Overgrow, Chlorophyll",Grassy Surge,"Bulbasaur, Ivysaur, Venusaur, Mega Venusaur, Gigantamax Venusaur",1
Ivysaur,2,60,62,63,80,80,60,405,Grass,Poison,"Overgrow, Chlorophyll",Grassy Surge,"Bulbasaur, Ivysaur, Venusaur, Mega Venusaur, Gigantamax Venusaur",2
Venusaur,3,80,82,83,100,100,80,525,Grass,Poison,"Overgrow, Chlorophyll",Grassy Surge,"Bulbasaur, Ivysaur, Venusaur, Mega Venusaur, Gigantamax Venusaur",3
Mega Venusaur,3,80,100,123,122,120,80,625,Grass,Poison,Thick Fat,Seed Sower,"Bulbasaur, Ivysaur, Venusaur, Mega Venusaur, Gigantamax Venusaur",3-mega
Gigantamax Venusaur,3,120,122,90,108,105,80,625,Grass,Poison,Effect Spore,Flower Veil,"Bulbasaur, Ivysaur, Venusaur, Mega Venusaur, Gigantamax Venusaur",3-gigantamax
Charmander,4,39,52,43,60,50,65,309,Fire,,"Blaze, Solar Power",Sheer Force,"Charmander, Charmeleon, Charizard, Mega X Charizard, Mega Y Charizard, Gigantamax Charizard",4
Charmeleon,5,58,64,58,80,65,80,405,Fire,,"Blaze, Solar Power",Sheer Force,"Charmander, Charmeleon, Charizard, Mega X Charizard, Mega Y Charizard, Gigantamax Charizard",5
Charizard,6,78,84,78,109,85,100,534,Fire,Flying,"Blaze, Solar Power",Battle Bond,"Charmander, Charmeleon, Charizard, Mega X Charizard, Mega Y Charizard, Gigantamax Charizard",6
Mega X Charizard,6,78,130,111,130,85,100,634,Fire,Dragon,Tough Claws,Levitate,"Charmander, Charmeleon, Charizard, Mega X Charizard, Mega Y Charizard, Gigantamax Charizard",6-mega-x
Mega Y Charizard,6,78,104,78,159,115,100,634,Fire,Flying,Drought,Turboblaze,"Charmander, Charmeleon, Charizard, Mega X Charizard, Mega Y Charizard, Gigantamax Charizard",6-mega-y
